爱,愛,ài,ㄞˋ,to love,audio/ㄞˋ.wav
吧,吧,ba,ㄅㄚ˙,suggestion particle,audio/ㄅㄚ˙.wav
八,八,bā,ㄅㄚ,eight,audio/ㄅㄚ.wav
爸,爸,bà,ㄅㄚˋ,father,audio/ㄅㄚˋ.wav
白,白,bái,ㄅㄞˊ,white,audio/ㄅㄞˊ.wav
百,百,bǎi,ㄅㄞˇ,hundred,audio/ㄅㄞˇ.wav
班,班,bān,ㄅㄢ,team,audio/ㄅㄢ.wav
半,半,bàn,ㄅㄢˋ,half,audio/ㄅㄢˋ.wav
帮,幫,bāng,ㄅㄤ,to assist,audio/ㄅㄤ.wav
包,包,bāo,ㄅㄠ,to cover,audio/ㄅㄠ.wav
杯,杯,bēi,ㄅㄟ,cup/a measure word,audio/ㄅㄟ.wav
北,北,běi,ㄅㄟˇ,north,audio/ㄅㄟˇ.wav
备,備,bèi,ㄅㄟˋ,to prepare,audio/ㄅㄟˋ.wav
本,本,běn,ㄅㄣˇ,roots (plants)/origin,audio/ㄅㄣˇ.wav
比,比,bǐ,ㄅㄧˇ,"comparative paricle (""-er than"")",audio/ㄅㄧˇ.wav
边,邊,biān,ㄅㄧㄢ,side/edge,audio/ㄅㄧㄢ.wav
别,別,bié,ㄅㄧㄝˊ,leave/depart,audio/ㄅㄧㄝˊ.wav
病,病,bìng,ㄅㄧㄥˋ,ailment,audio/ㄅㄧㄥˋ.wav
不,不,bù,ㄅㄨˋ,(negative prefix)/not,audio/ㄅㄨˋ.wav
菜,菜,cài,ㄘㄞˋ,dish (food type)/vegetables,audio/ㄘㄞˋ.wav
茶,茶,chá,ㄔㄚˊ,tea,audio/ㄔㄚˊ.wav
差,差,chà,ㄔㄚˋ,difference,audio/ㄔㄚˋ.wav
常,常,cháng,ㄔㄤˊ,always,audio/ㄔㄤˊ.wav
场,場,chǎng,ㄔㄤˇ,open space,audio/ㄔㄤˇ.wav
唱,唱,chàng,ㄔㄤˋ,sing,audio/ㄔㄤˋ.wav
车,車,chē,ㄔㄜ,car/a vehicle,audio/ㄔㄜ.wav
吃,吃,chī,ㄔ,eat/destroy,audio/ㄔ.wav
出,出,chū,ㄔㄨ,to go out,audio/ㄔㄨ.wav
穿,穿,chuān,ㄔㄨㄢ,pierce,audio/ㄔㄨㄢ.wav
床,床,chuáng,ㄔㄨㄤˊ,bed/couch,audio/ㄔㄨㄤˊ.wav
次,次,cì,ㄘˋ,nth/number (of times),audio/ㄘˋ.wav
从,從,cóng,ㄘㄨㄥˊ,lax/yielding,audio/ㄘㄨㄥˊ.wav
错,錯,cuò,ㄘㄨㄛˋ,mistake/error,audio/ㄘㄨㄛˋ.wav
答,答,dá,ㄉㄚˊ,reply,audio/ㄉㄚˊ.wav
打,打,dǎ,ㄉㄚˇ,strike,audio/ㄉㄚˇ.wav
大,大,dà,ㄉㄚˋ,big,audio/ㄉㄚˋ.wav
蛋,蛋,dàn,ㄉㄢˋ,egg/oval shaped,audio/ㄉㄢˋ.wav
到,到,dào,ㄉㄠˋ,to (a place),audio/ㄉㄠˋ.wav
道,道,dào,ㄉㄠˋ,direction,audio/ㄉㄠˋ.wav
地,地,de,ㄉㄜ˙,particle before verb/adjective,audio/ㄉㄜ˙.wav
的,的,de,ㄉㄜ˙,possesive particle,audio/ㄉㄜ˙.wav
得,得,dé,ㄉㄜˊ,obtain,audio/ㄉㄜˊ.wav
等,等,děng,ㄉㄥˇ,class/rank,audio/ㄉㄥˇ.wav
