爱,愛,ài,ㄞˋ,to love,audio/ㄞˋ.wav
爱好,愛好,ài hào,ㄞˋㄏㄠˋ,to like/to take pleasure in/keen on/fond of,audio/ㄞˋㄏㄠˋ.wav
八,八,bā,ㄅㄚ,eight,audio/ㄅㄚ.wav
爸爸,爸爸,bà ba,ㄅㄚˋㄅㄚ˙,father,audio/ㄅㄚˋㄅㄚ˙.wav
吧,吧,ba,ㄅㄚ˙,suggestion particle/...right?/...OK?,audio/ㄅㄚ˙.wav
白,白,bái,ㄅㄞˊ,white,audio/ㄅㄞˊ.wav
白天,白天,bái tiān,ㄅㄞˊㄊㄧㄢ,daytime/during the day,audio/ㄅㄞˊㄊㄧㄢ.wav
百,百,bǎi,ㄅㄞˇ,hundred,audio/ㄅㄞˇ.wav
班,班,bān,ㄅㄢ,team,audio/ㄅㄢ.wav
半,半,bàn,ㄅㄢˋ,half,audio/ㄅㄢˋ.wav
半年,半年,bàn nián,ㄅㄢˋㄋㄧㄢˊ,half a year,audio/ㄅㄢˋㄋㄧㄢˊ.wav
半天,半天,bàn tiān,ㄅㄢˋㄊㄧㄢ,half of the day/a long time/quite a while,audio/ㄅㄢˋㄊㄧㄢ.wav
帮,幫,bāng,ㄅㄤ,to assist,audio/ㄅㄤ.wav
帮忙,幫忙,bāng máng,ㄅㄤㄇㄤˊ,to help/to lend a hand/to do a favor,audio/ㄅㄤㄇㄤˊ.wav
包,包,bāo,ㄅㄠ,to cover,audio/ㄅㄠ.wav
包子,包子,bāo zi,ㄅㄠㄗ˙,bao (steamed stuffed bun),audio/ㄅㄠㄗ˙.wav
杯,杯,bēi,ㄅㄟ,cup/a measure word,audio/ㄅㄟ.wav
杯子,杯子,bēi zi,ㄅㄟㄗ˙,cup/glass,audio/ㄅㄟㄗ˙.wav
北,北,běi,ㄅㄟˇ,north,audio/ㄅㄟˇ.wav
北边,北邊,běi biān,ㄅㄟˇㄅㄧㄢ,north/north side/northern part/to the north of,audio/ㄅㄟˇㄅㄧㄢ.wav
北京,北京,Běi jīng,ㄅㄟˇㄐㄧㄥ,Beijing (capital of the PRC),audio/ㄅㄟˇㄐㄧㄥ.wav
本,本,běn,ㄅㄣˇ,roots (plants)/origin,audio/ㄅㄣˇ.wav
本子,本子,běn zi,ㄅㄣˇㄗ˙,book/notebook,audio/ㄅㄣˇㄗ˙.wav
比,比,bǐ,ㄅㄧˇ,"comparative paricle (""-er than"")",audio/ㄅㄧˇ.wav
别,別,bié,ㄅㄧㄝˊ,leave/depart,audio/ㄅㄧㄝˊ.wav
别的,別的,bié de,ㄅㄧㄝˊㄉㄜ˙,else/other,audio/ㄅㄧㄝˊㄉㄜ˙.wav
别人,別人,bié ren,ㄅㄧㄝˊㄖㄣ˙,other people/others,audio/ㄅㄧㄝˊㄖㄣ˙.wav
病,病,bìng,ㄅㄧㄥˋ,ailment,audio/ㄅㄧㄥˋ.wav
病人,病人,bìng rén,ㄅㄧㄥˋㄖㄣˊ,sick person/patient,audio/ㄅㄧㄥˋㄖㄣˊ.wav
不大,不大,bù dà,ㄅㄨˋㄉㄚˋ,not very/not too/not often,audio/ㄅㄨˋㄉㄚˋ.wav
不对,不對,bù duì,ㄅㄨˋㄉㄨㄟˋ,incorrect/wrong/amiss/abnormal,audio/ㄅㄨˋㄉㄨㄟˋ.wav
不客气,不客氣,bù kè qi,ㄅㄨˋㄎㄜˋㄑㄧ˙,you're welcome/don't mention it/impolite/rude,audio/ㄅㄨˋㄎㄜˋㄑㄧ˙.wav
不用,不用,bù yòng,ㄅㄨˋㄩㄥˋ,need not,audio/ㄅㄨˋㄩㄥˋ.wav
不,不,bù,ㄅㄨˋ,(negative prefix)/not,audio/ㄅㄨˋ.wav
菜,菜,cài,ㄘㄞˋ,dish (food type)/vegetables,audio/ㄘㄞˋ.wav
茶,茶,chá,ㄔㄚˊ,tea,audio/ㄔㄚˊ.wav
差,差,chà,ㄔㄚˋ,difference,audio/ㄔㄚˋ.wav
常,常,cháng,ㄔㄤˊ,always,audio/ㄔㄤˊ.wav
常常,常常,cháng cháng,ㄔㄤˊㄔㄤˊ,frequently/often,audio/ㄔㄤˊㄔㄤˊ.wav
唱,唱,chàng,ㄔㄤˋ,sing,audio/ㄔㄤˋ.wav
唱歌,唱歌,chàng gē,ㄔㄤˋㄍㄜ,to sing a song,audio/ㄔㄤˋㄍㄜ.wav
车,車,chē,ㄔㄜ,car/a vehicle,audio/ㄔㄜ.wav
车票,車票,chē piào,ㄔㄜㄆㄧㄠˋ,ticket (for a bus or train),audio/ㄔㄜㄆㄧㄠˋ.wav
车上,車上,chē shàng,ㄔㄜㄕㄤˋ,on the car,audio/ㄔㄜㄕㄤˋ.wav
车站,車站,chē zhàn,ㄔㄜㄓㄢˋ,rail station/bus stop,audio/ㄔㄜㄓㄢˋ.wav
吃,吃,chī,ㄔ,eat/destroy,audio/ㄔ.wav
吃饭,吃飯,chī fàn,ㄔㄈㄢˋ,to have a meal/to eat/to make a living,audio/ㄔㄈㄢˋ.wav
出,出,chū,ㄔㄨ,to go out,audio/ㄔㄨ.wav
出来,出來,chū lái,ㄔㄨㄌㄞˊ,to come out/to appear/to arise,audio/ㄔㄨㄌㄞˊ.wav
出去,出去,chū qù,ㄔㄨㄑㄩˋ,to go out,audio/ㄔㄨㄑㄩˋ.wav
穿,穿,chuān,ㄔㄨㄢ,to wear/to put on/to dress/to bore through/to penetrate,audio/ㄔㄨㄢ.wav
床,床,chuáng,ㄔㄨㄤˊ,bed/couch,audio/ㄔㄨㄤˊ.wav
次,次,cì,ㄘˋ,nth/number (of times),audio/ㄘˋ.wav
从,從,cóng,ㄘㄨㄥˊ,lax/yielding,audio/ㄘㄨㄥˊ.wav
错,錯,cuò,ㄘㄨㄛˋ,mistake/error,audio/ㄘㄨㄛˋ.wav
打,打,dǎ,ㄉㄚˇ,strike,audio/ㄉㄚˇ.wav
打车,打車,dǎ chē,ㄉㄚˇㄔㄜ,to take a taxi (in town)/to hitch a lift,audio/ㄉㄚˇㄔㄜ.wav
打电话,打電話,dǎ diàn huà,ㄉㄚˇㄉㄧㄢˋㄏㄨㄚˋ,to make a telephone call,audio/ㄉㄚˇㄉㄧㄢˋㄏㄨㄚˋ.wav
打开,打開,dǎ kāi,ㄉㄚˇㄎㄞ,to open/to show (a ticket)/to turn on/to switch on,audio/ㄉㄚˇㄎㄞ.wav
打球,打球,dǎ qiú,ㄉㄚˇㄑㄧㄡˊ,to play ball/to play with a ball,audio/ㄉㄚˇㄑㄧㄡˊ.wav
大,大,dà,ㄉㄚˋ,big,audio/ㄉㄚˋ.wav
大学,大學,dà xué,ㄉㄚˋㄒㄩㄝˊ,university/college,audio/ㄉㄚˋㄒㄩㄝˊ.wav
大学生,大學生,dà xué shēng,ㄉㄚˋㄒㄩㄝˊㄕㄥ,university student/college student,audio/ㄉㄚˋㄒㄩㄝˊㄕㄥ.wav
到,到,dào,ㄉㄠˋ,to (a place),audio/ㄉㄠˋ.wav
得到,得到,dé dào,ㄉㄜˊㄉㄠˋ,to get/to obtain/to receive,audio/ㄉㄜˊㄉㄠˋ.wav
地,地,de,ㄉㄜ˙,particle before verb/adjective,audio/ㄉㄜ˙.wav
的,的,de,ㄉㄜ˙,possesive particle,audio/ㄉㄜ˙.wav
等,等,děng,ㄉㄥˇ,class/rank,audio/ㄉㄥˇ.wav
地点,地點,dì diǎn,ㄉㄧˋㄉㄧㄢˇ,place/site/location/venue,audio/ㄉㄧˋㄉㄧㄢˇ.wav
地方,地方,dì fāng,ㄉㄧˋㄈㄤ˙,area/place/space/room/territory,audio/ㄉㄧˋㄈㄤ˙.wav
地上,地上,dì shang,ㄉㄧˋㄕㄤ˙,on the ground/on the floor,audio/ㄉㄧˋㄕㄤ˙.wav
地图,地圖,dì tú,ㄉㄧˋㄊㄨˊ,map,audio/ㄉㄧˋㄊㄨˊ.wav
弟弟,弟弟,dì di,ㄉㄧˋㄉㄧ˙,younger brother,audio/ㄉㄧˋㄉㄧ˙.wav
第,第,dì,ㄉㄧˋ,"prefix before order numbers (e.g. ""first"")",audio/ㄉㄧˋ.wav
点,點,diǎn,ㄉㄧㄢˇ,o'clock,audio/ㄉㄧㄢˇ.wav
电,電,diàn,ㄉㄧㄢˋ,electric,audio/ㄉㄧㄢˋ.wav
电话,電話,diàn huà,ㄉㄧㄢˋㄏㄨㄚˋ,telephone/phone call,audio/ㄉㄧㄢˋㄏㄨㄚˋ.wav
电脑,電腦,diàn nǎo,ㄉㄧㄢˋㄋㄠˇ,computer,audio/ㄉㄧㄢˋㄋㄠˇ.wav
电视,電視,diàn shì,ㄉㄧㄢˋㄕˋ,television,audio/ㄉㄧㄢˋㄕˋ.wav
电视机,電視機,diàn shì jī,ㄉㄧㄢˋㄕˋㄐㄧ,television set,audio/ㄉㄧㄢˋㄕˋㄐㄧ.wav
